epoch,iteration,lr,loss,pal1_loc,pal1_conf,pal2_loc,pal2_conf,enhance,enhance_l1ssim,mutual,elapsed_s,timestamp
0,6551,2.500000e-04,21.066529,6.359560,3.555773,6.123279,3.596724,0.088169,1.309073,0.033951,737.38,2026-05-14T15:04:51
0,1638,5.000000e-04,19.701479,5.757335,3.621323,5.021940,3.700953,0.091879,1.457189,0.050860,594.95,2026-05-14T17:27:04
